channel,m1,c1,m2,c2,sideslip,vw,middle_alpha
C_L,0.002869738769034161,0.21172177852224153,0.0036296901457896257,0.2090619487035974,-20.0,5.0,3.5
C_D,0.0002596343056298464,0.8777633928603181,0.002617797320624844,0.8695098223078356,-20.0,5.0,3.5
C_S,-0.000300803241123361,0.38402762276424474,0.0016575881154270418,0.3771732530163183,-20.0,5.0,3.5
C_roll,0.006006607423329271,0.22173331501427285,0.011642412416114882,0.20200799753952323,-20.0,5.0,3.5
C_pitch,-0.028054475708104137,-1.2865152706705958,-0.035217958325452305,-1.2614430815098772,-20.0,5.0,3.5
C_yaw,0.005442859412656446,1.3709240351726644,0.007815102710465113,1.362621183630334,-20.0,5.0,3.5
C_L,0.0011514035847091579,0.21335801509644514,0.001903229605824394,0.2107266240225418,-20.0,10.0,3.5
C_D,0.00039661785459853754,0.8810647860876148,0.0015704055526109015,0.8769565291445716,-20.0,10.0,3.5
C_S,0.0010334749475817838,0.28181817595375397,-0.0003726061364173871,0.28673945974775106,-20.0,10.0,3.5
C_roll,0.007614591044959068,0.028952112018484362,0.004887168326500846,0.03849809153308814,-20.0,10.0,3.5
C_pitch,-0.02445225568992753,-1.2834857653483458,-0.029102213596003092,-1.2672109126770814,-20.0,10.0,3.5
C_yaw,0.007359690666071355,1.1528487974893804,0.00244506341137356,1.1700499928808228,-20.0,10.0,3.5
C_L,0.0005527500129331311,0.21063745939960105,0.0012982473255553218,0.20802821880542338,-20.0,15.0,3.5
C_D,0.000489889460679503,0.8799572255422556,0.0009466786201344321,0.8783584634841635,-20.0,15.0,3.5
C_S,0.0005034051031256111,0.2575778813602557,-0.0007329688214488743,0.26190519009626645,-20.0,15.0,3.5
C_roll,0.0064776776668508595,-0.006666767662924008,0.004146404576715484,0.0014926881525498068,-20.0,15.0,3.5
C_pitch,-0.023734808997938863,-1.2771411117104907,-0.026213600334082876,-1.2684653420339866,-20.0,15.0,3.5
C_yaw,0.006291503382768316,1.102443935862574,0.0011685688528035043,1.120374206717451,-20.0,15.0,3.5
C_L,0.0007126088532874842,0.2022449217787124,0.0009404785337267982,0.2014473778971748,-20.0,20.0,3.5
