aoa,CL,CD,CL/CD,CS,CMx,CMy,CMz
-12.0,-0.2382871512913027,0.10555351086138359,-2.2575009523295666,8.493387378390686e-14,8.076706508284266e-11,-0.007918989400871745,1.701371705868917e-11
-11.0,-0.23078413996904473,0.10186112684362705,-2.265674326608765,6.616874649497016e-14,7.790126732489563e-11,-0.004530826460686719,1.7724442008814033e-11
-10.0,-0.22230140038021914,0.09806363640487119,-2.266909616347621,4.373272668096159e-14,7.472290013342936e-11,-0.0009701002075628843,1.8361387209639825e-11
-9.0,-0.21585315982172304,0.0931590398953698,-2.317039334713575,2.739682786368477e-14,7.213110520193846e-11,0.0020651339769740397,1.8447580881374437e-11
-8.0,-0.20625706590216833,0.08814998331707347,-2.339842370250558,1.1046588689401156e-14,6.856632639777729e-11,0.005592757506039285,1.8555220224028914e-11
-7.0,-0.1998343140258721,0.08290261953105998,-2.410470442987666,-2.389661935808156e-14,6.5989232819193e-11,0.008875493683834676,1.8347941967230407e-11
-6.0,-0.18199775713691974,0.07765158375393942,-2.343773923705537,-3.872611350474041e-14,5.985630102802801e-11,0.013199423497960132,1.8434169238550905e-11
-5.0,-0.14850648581010087,0.07109437185188841,-2.0888641666246923,-3.2393754503524565e-14,4.8786178350692233e-11,0.019080355273368883,1.833236980169167e-11
-4.0,-0.10858858872468641,0.06522454108866148,-1.6648425103839215,-3.0271060429342046e-14,3.5719745321648046e-11,0.02561465961310113,1.8209742770342765e-11
-3.0,-0.06288342322853809,0.06000714503007155,-1.0479322620168838,-2.895668145826433e-14,2.0855692218097116e-11,0.0328117027898953,1.793838833244812e-11
-2.0,-0.007429949914950523,0.055498453779690086,-0.13387670122207165,-3.2169539191587655e-14,2.932377507017882e-12,0.041339760672071735,1.748705502681969e-11
-1.0,0.05656004203302359,0.05159811771021331,1.0961648320327801,-3.44716398526909e-14,-1.7662191126331817e-11,0.05130125455597175,1.6655361774453226e-11
0.0,0.12392449645064037,0.04839062569141725,2.5609194896733913,-3.597944298611074e-14,-3.928809468916042e-11,0.06199878127173148,1.5329573749197026e-11
1.0,0.19309362003485317,0.04593968204080192,4.203198878550238,-3.699581064093612e-14,-6.144166099555558e-11,0.07323792979909632,1.3484125251639633e-11
