CMx,CMx_ci,CMy,CMy_ci,CMz,CMz_ci,beta
0.19139395223068226,0.020660548257986737,0.04635925124831827,0.024589143965772945,-0.16570556732591984,0.02001904794341625,-20.06967097810398
0.1311214800582485,0.02477888017124643,0.07507540656791196,0.029031394753485318,-0.15234848643781324,0.022468379460809235,-14.055749608545222
0.11179058734862576,0.02815262100871694,0.10934162532642601,0.03224172078079549,-0.1179678843534841,0.024820647792327007,-12.066092440592415
0.11531456196539004,0.023073048856768905,0.1535245854029578,0.025985506145196815,-0.07945409997587208,0.020126716217010725,-10.062936511029717
0.10332448211528868,0.02570736332325432,0.14350474923025622,0.025170428337176275,-0.030942207957241178,0.022351924251759307,-8.061124974652081
0.04764847031717341,0.031019788477203405,0.10968273765994892,0.030665257223672082,-0.04283155768542913,0.02660282607625326,-6.041376711237635
0.006048739865838668,0.030929726608882723,0.11277459280522889,0.029853526177392113,-0.07564823608951494,0.026138180545976355,-4.0165684102139965
-0.023809545868802337,0.040579041589115114,0.10369598228164077,0.030096093368253387,-0.06540593610301829,0.03204147660509082,-1.999608002892078
-0.03128243402786345,0.026656226867351553,0.05637255414458888,0.030839598567949735,0.01789912633501777,0.022990389749415155,0.005740408516664398
-0.050929919163423494,0.030063547698549485,0.09096601125331233,0.03334461374771776,0.05888744411056532,0.025011695247421906,2.016420607264102
-0.0796672528293347,0.02956566758441081,0.06714200632105834,0.033231147102717386,0.0545447413304381,0.024225124100846818,4.036280786669062
-0.11467040909156667,0.028188043309416717,0.095786578091486,0.030089804902731113,0.0550603775403192,0.023146016009967133,6.054418167981162
-0.17174197389077994,0.027429505422169032,0.12640269707286256,0.02954141980508132,0.04072946849358928,0.02250370592372319,8.074018771961468
-0.1804501148898673,0.02939613455346742,0.093834205269117,0.027559707401687724,0.09259512127612186,0.026713288298543802,10.067194687004351
-0.16188992286126103,0.02846886245138904,0.07962498598816604,0.031199031331547077,0.15843573677024564,0.026317828949539337,12.056488407445709
-0.19185800341656611,0.02637361440100709,0.04085462596043191,0.028003499264573815,0.1327281870661444,0.02374577621789583,14.069055350847615
-0.21493670727190112,0.019164913537376514,-0.03077480529467151,0.024867010002142843,0.14483232447097588,0.01910184522502699,20.076573745159017
