CL,CL_ci,CD,CD_ci,CS,CS_ci,beta
0.777951405622742,0.008796856833471997,0.20965299417515762,0.007808202513084929,0.07250478256562636,0.008217489683777739,-20.03306181832601
0.8302403074977395,0.012955285139438909,0.1931747523114195,0.009309425805962184,0.034449390408806985,0.010246626789327874,-14.015708749779463
0.8486356648182445,0.011645372133727057,0.1845659041133973,0.009763266656747276,0.033611967911577785,0.00813554565837993,-12.01532688930784
0.844372693044939,0.011365030678061794,0.18101829425148508,0.0106356859804954,0.048093781193258786,0.008553952752862554,-10.02193052375522
1.006523668797301,0.010837935241264824,0.10802947323957199,0.010272790394690522,0.12184527056447772,0.008895700961960736,-8.055560834151049
0.9537384196530716,0.015370702522261782,0.1599950502942629,0.021244107617413247,0.06548959989623337,0.010741698337113218,-6.029862930104683
0.9184046713894765,0.014982732979344607,0.17243465965805976,0.01769809717193447,0.005348333591515309,0.010089797365083922,-4.002438813376063
0.9186803652592959,0.014083307882746029,0.18249542351422535,0.015117905473731102,-0.020971896776982565,0.011043933305536349,-1.9904369199291798
0.9327251987983486,0.015877506028324398,0.18888674805756867,0.01693686866633114,-0.01367763821815797,0.0104799989282744,0.006236934639288943
0.9271547044901232,0.015478908445309329,0.18918201422866804,0.018493063677438935,-0.020212172896745345,0.010114147444868611,2.0092166497800514
0.9264779163925219,0.014463729337635955,0.19053897242035212,0.015969671394721947,-0.05711214792710673,0.00981487690616588,4.026042853894021
0.904332198504447,0.013675018771545895,0.19875546429064425,0.015903775687221792,-0.07086368222790036,0.009670037966489518,6.032313484777512
0.866938735025727,0.013157295125787564,0.1832961756463486,0.014969734589144206,-0.08835041873904856,0.009641887208934047,8.040287349192912
0.8939409571719724,0.01295305280419159,0.1904967024240417,0.013890898029644879,-0.08309912378412976,0.01027379051446907,10.037892784949944
0.8654661435745437,0.013292408593805123,0.1951719602829853,0.014118408150101295,-0.027089361225773816,0.010568941682094995,12.012352613272146
0.8770062636432303,0.01279498307188091,0.18972929247964704,0.013000904667972327,-0.0823523935439637,0.010195284111974946,14.03755227969408
0.839104780120975,0.010512431660821126,0.2263726395107008,0.009036578817891099,-0.11071283678269149,0.00811056514566816,20.050484500008725
