sideslip,C_L,C_S,C_D,C_roll,C_pitch,C_yaw,Rey,vw,aoa_kite,C_L_std,C_S_std,C_D_std,C_roll_std,C_pitch_std,C_yaw_std,aoa
-20.0,0.17929373043215555,0.38742669938893876,0.874829525206701,0.1538586511306521,-0.9694996951690188,1.3094197238096466,139515.51962386974,5.0,-11.3,0.6689285641531684,0.09088848571460542,0.12150076158577475,0.6840292629240734,1.5451989231142655,0.23192765583599986,-12.2
-14.0,0.17763185022333533,0.23698270479446043,0.7661875697806068,0.07589515713161533,-0.9111968173575529,0.866683346461637,139794.5506631175,5.0,-11.3,0.6995181733491683,0.08068920382689415,0.13863323717542012,0.5535927374936782,1.674594282608097,0.22685054796850454,-12.2
-12.0,0.17364904629414316,0.18151775829692177,0.7454555907960118,0.04776143973292623,-0.8979415975777846,0.723790085072356,138957.4575453743,5.0,-11.3,0.6826024906597267,0.084461235014224,0.13443539411740985,0.49083458576853284,1.649604964827671,0.21467015864385477,-12.2
-10.0,0.1673511664524441,0.1408951150733069,0.7151381261181987,0.0425550376088721,-0.8745994948025283,0.6061051944620223,138957.4575453743,5.0,-11.3,0.691287189274868,0.09140492053248739,0.09877222050040192,0.4366680492780438,1.6790597301829577,0.19781992567455192,-12.2
-8.0,0.1695950258920612,0.10482265244639447,0.6923817754379096,0.030918269014868684,-0.8817783674070551,0.49449350971900596,138840.98021298082,5.0,-11.3,0.6997362253002388,0.08762370424273049,0.12724169898412968,0.38985477931781404,1.713744073389776,0.18742182625814652,-12.2
-6.0,0.17432773806241106,0.10383557923930649,0.6736168953941669,0.042995882663197454,-0.8852661867225068,0.42044818233671,138957.4575453743,5.0,-11.3,0.6668878564879481,0.1104702174603529,0.13020742637443045,0.3482237397155469,1.639320796037145,0.2234448952717017,-12.2
-4.0,0.17916172086765592,0.08343902635410061,0.6458116622935808,0.03723927058787858,-0.8808623393084324,0.3169276525613313,139236.488584622,5.0,-11.3,0.6964392245488809,0.09582289794357435,0.13689466507291842,0.31069244396580287,1.7237172769981464,0.20922565626142392,-12.2
-2.0,0.17580714481086024,0.05853693104019378,0.6309759423586215,0.017617329814501648,-0.8653831915497282,0.19496626766198363,139236.488584622,5.0,-11.3,0.6794123675735009,0.0819914192023046,0.1129706285870498,0.26856228793466763,1.6843064483127137,0.1805688549015398,-12.2
-0.0,0.18838221288045878,-0.00033403124874600864,0.6240019933357496,-0.02664966403340341,-0.9035277625192334,-0.004279306945494006,139515.51962386974,5.0,-11.3,0.7091140324410847,0.09923804792370018,0.14071447029909462,0.2512813757382247,1.7638934742888033,0.2078209367008584,-12.2
2.0,0.17235484301060267,-0.03488089961959487,0.6413552874775376,-0.029930756436674994,-0.878212584374565,-0.14953965901461053,139236.488584622,5.0,-11.3,0.6935900754852354,0.08340198644843352,0.13821453315860283,0.23251921074718154,1.7269221603042562,0.18782109493750773,-12.2
4.0,0.17936533520763367,-0.06796595771215612,0.6509336717776466,-0.05702591943181235,-0.8978657492751276,-0.28302177015506114,139515.51962386974,5.0,-11.3,0.6871587117982384,0.08253316545233337,0.15508508266830653,0.25002790746278986,1.7105701787635321,0.19713616021256145,-12.2
6.0,0.18826145515314519,-0.09166460509246742,0.6813683894061235,-0.08543815439033384,-0.9611625981025304,-0.4046175143339162,139236.488584622,5.0,-11.3,0.682013679597826,0.1001085537188687,0.18424550322944225,0.2737194438414482,1.6978098181217298,0.21438489092780777,-12.2
8.0,0.17314434977646365,-0.10763941810018869,0.7121890011642948,-0.06777552732032774,-0.9433872253880472,-0.4998810915305143,139236.488584622,5.0,-11.3,0.6971833749613476,0.07883190428893941,0.12297213028491615,0.30211964326241586,1.725714546840694,0.1886168951183745,-12.2
10.0,0.18317880869650127,-0.14476703984508274,0.7416767902056168,-0.0685443384121004,-0.9783328863819445,-0.6142007781296023,139236.488584622,5.0,-11.3,0.6802788426158399,0.07612776790081278,0.14200495798096183,0.3313307839837424,1.6718118180855264,0.20911547930159322,-12.2
